Name,Address,Status,Classes_This_Week,4Rides,8Rides,Unlimited Rides,5Pack,10Pack,24Pack
CycleBar Loveland,"5721 McWhinney Blvd, Suites A5733, Loveland, CO, 80538",Open,32,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Parker,"11280 S Twenty Mile Road, Suite 112, Parker, CO, 80134",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Fort Collins,"3300 S College Avenue, Suite 140, Fort Collins, CO, 80525",Open,30,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Orchard Park Place,"14215 Orchard Parkway, Suite 400, Westminster, CO, 80023",Open,23,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar DTC,"7600 Landmark Way, Suite A201, Greenwood Village, CO, 80111",Open,23,$79.00,$129.00,$169.00,$229.00,$10.00,$27.00
CycleBar Lone Tree,"7824 Park Meadows Drive, Suite 150, Lone Tree, CO, 80124",Open,20,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Castle Pines,"562 Castle Pines Parkway, Units C1 & C2, Castle Rock, CO, 80108",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Longmont,"205 Ken Pratt Blvd, Ste 100, Longmont, CO, 80501",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar LoHi,"1230 W 38th Avenue, Denver, CO, 80211",Open,29,$79.00,$129.00,$169.00,$229.00,$10.00,$27.00
CycleBar Union Station,"2025 17th Street, Suite 120, Denver, CO, 80202",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Louisville,"459 McCaslin Boulevard, Suite 6, Louisville, CO, 80027",Open,19,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Southwest Plaza,"8501 W Bowles Avenue, Suite 1100, Littleton, CO, 80123",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Midland,"3415 N Loop 250 W, Suite 502, Midland, TX, 79707",Open,21,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Odessa,"6430 HWY 191, suite 130 & 150, Odessa, TX, 79762",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Aspen,"535 E Hyman Avenue, Aspen, CO, 81611",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Albuquerque Heights,"9900 Montgomery Boulevard NE, Suite B, Albuquerque, NM, 87111",Open,21,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Bozeman,"2047 W Oak St,, Suite 101-B, Bozeman, MT, 59718",Open,32,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar El Paso West,"7470 Cimarron Market, El Paso, TX, 79911",Open,25,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Saratoga Springs,"24 Pioneer Crossing, Suite 100, Saratoga Springs, UT, 84045",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar South Jordan,"3561 W 11400 South, South Jordan, UT, 84095",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Windermere,"5242 Windermere Boulevard, Edmonton, AB, T6W 0L9",Open,24,$89.00,$139.00,$129.00,$249.00,$27.00,$29.00
CycleBar St Albert,"130 - 140 Bellerose Drive, St Albert, AB, T8N 8N8",Open,24,$89.00,$139.00,$129.00,$249.00,$27.00,$29.00
CycleBar Strathcona,"555 Strathcona Boulevard SW, Suite 136, Calgary, AB, T3H2Z9",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Flagstaff,"319 S Regent Street, Suite 206, Flagstaff, AZ, 86001",Open,23,$59.00,$109.00,$149.00,$189.00,$189.00,$99.00
CycleBar East Mesa,"1534 S. Signal Butte, #101, Mesa, AZ, 85209",Open,30,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Gilbert,"2484 S Santan Village Parkway, Suite 103, Gilbert, AZ, 85295",Open,34,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Paradise Valley,"10633 N Tatum Boulevard, Phoenix, AZ, 85028",Open,30,$59.00,$109.00,$149.00,$189.00,$229.00,$99.00
CycleBar Coeur d'Alene,"1430 West Appleway, Coeur d'Alene, ID, 83814",Open,23,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Village Meridian,"3690 E Monarch Sky Lane, Suite 120, Meridian, ID, 83646",Open,26,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar South Hill,"2525 E 29th Ave, Suite 02, Spokane, WA, 99223",Open,20,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Convention,"2019 Main Street, Eureka, NV, 89316",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Henderson,"2280 Paseo Verde Parkway, Suite 160, Henderson, NV, 89052",Open,34,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Redlands,"455 W Stuart Ave, B100, Redlands, CA, 92373",Open,33,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Redmond Town Center,"7425 166th Avenue NE, Suite C250, Redmond, WA, 98052",Open,30,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Bend,"655 SW Powerhouse Drive, Suite 150, Bend, OR, 97702",Open,26,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar South Lake Union,"1288 Harrison Street, Seattle, WA, 98109",Open,33,$89.00,$139.00,$179.00,$249.00,$249.00,$129.00
CycleBar Temecula,"26485 Ynez Road, Suite K, Temecula, CA, 92591",Open,21,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Rancho Cucamonga,"7210 Day Creek Blvd, Suite 117, Rancho Cucamonga, CA, 91739",Open,36,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar San Elijo Hills,"1646 San Elijo Road, Suite 101, San Marcos, CA, 92078",Open,23,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Scripps Ranch,"9860 Hibert St., Suite C3, San Diego, CA, 92131",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Carmel Valley,"12720 Carmel Country Road, Suite 110, San Diego, CA, 92130",Open,22,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Hillcrest,"1040 University Avenue, Suite B213, San Diego, CA, 92103",Open,31,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar XSTUDIO,"17522 Von Karman Ave, Suite C, Irvine, CA, 92614",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Irvine UTC,"4237 Campus Dr, Suite B160, Irvine, CA, 92612",Open,35,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar West Vancouver,"1700 Main Street, Suite A, Vancouver, WA, 98660",Open,22,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Overlook,"3450 N. Williams Ave, Portland, OR, 97227",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Traffic Circle,"1847 Ximeno Ave., Long Beach, CA, 90815",Open,29,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Burbank,"3820 W Verdugo Ave, Suite A, Burbank, CA, 90515",Open,32,$99.00,$149.00,$199.00,$269.00,$139.00,$499.00
CycleBar Clovis,"870 Herndon Avenue, Suite 102, Clovis, CA, 93612",Open,20,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Fresno,"8464 N Friant Road, Suite 108, Fresno, CA, 93720",Open,26,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Sherman Oaks,"14622 Ventura Blvd., 201, Sherman Oaks, CA, 91403",Open,30,$99.00,$149.00,$199.00,$269.00,$139.00,$499.00
CycleBar Culver City,"4130 Sepulveda Boulevard, Unit C, Culver City, CA, 90230",Open,31,$99.00,$149.00,$199.00,$269.00,$269.00,$139.00
CycleBar Torrance,"21207 Hawthorne Blvd, Torrance, CA, 90503",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Manhattan Beach,"3160 N Sepulveda Blvd, Suite R-135, Manhattan Beach, CA, 90266",Open,29,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Santa Monica,"1221 2nd Street, Suite 100, Santa Monica, CA, 90401",Open,21,$99.00,$149.00,$199.00,$269.00,$269.00,$139.00
CycleBar Westlake Village,"960 South Westlake Boulevard, Suite 7, Westlake Village, CA, 91361",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Folsom,"360 Palladio Parkway, St. 405, Folsom, CA, 95630",Open,29,$79.00,$129.00,$169.00,$229.00,$249.00,$119.00
CycleBar Roseville,"701 Pleasant Grove Boulevard, Suite 190, Rocklin, CA, 95678",Open,26,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Midtown Sacramento,"1708 15th Street, Sacramento, CA, 95811",Open,27,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Santa Barbara,"5188 Hollister Ave., Santa Barbara, CA, 93111",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Downtown San Jose,"130 Stockton Ave, Suite #130, San Jose, CA, 95126",Open,30,$99.00,$149.00,$189.00,$269.00,$139.00,$499.00
CycleBar Castro Valley,"3331 Castro Valley Blvd, Castro Valley, CA, 94546",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Los Gatos,"15525 Union Avenue, Los Gatos, CA, 95032",Open,27,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Sunnyvale,"331 W Washington Avenue, Sunnyvale, CA, 94086",Open,20,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Westgate West,"5293A Prospect Road, San Jose, CA, 95129",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Berkeley,"1929 University Avenue, Berkeley, CA, 94704",Open,30,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar Novato,"5800 Nave Drive, Suite J, Novato, CA, 94949",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar San Mateo,"56 31st Ave, San Mateo, CA, 94403",Open,23,$129.00,$199.00,$229.00,$169.00,$649.00,$35.00
CycleBar Carmel Rancho,"26135 Carmel Rancho Boulevard, Carmel-by-the-Sea, CA, 93923",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
