Name,Address,Status,Classes_This_Week,4Rides,8Rides,Unlimited Rides,5Pack,10Pack,24Pack
CycleBar Jackson Township,"7184 Fulton Drive NW, Canton, OH, 44718",Open,31,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Beachwood,"3355 Richmond Road, Suite 101A, Beachwood, OH, 44122",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Crocker Park,"236 Market Street, Westlake, OH, 44145",Open,25,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Durham,"311 Liggett St., Durham, NC, 27701",coming soon,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Raleigh Midtown,"200 Park At North Hills Street, Suite 141, Raleigh, NC, 27609",Open,27,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Chapel Hill,"201 S. Estes Dr., Suite E1, Chapel Hill, NC, 27514",Open,31,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
CycleBar West Cary,"5022 Arco Street, Cary, NC, 27519",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Greensboro,"2105 W. Cornwallis Dr., Ste. E, Greensboro, NC, 27408",Open,27,$79.00,$129.00,$169.00,$229.00,$119.00,$27.00
CycleBar Winston-Salem,"400 West Fourth Street, Suite 120, Winston-Salem, NC, 27101",Open,26,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Easton,"4201 Weaverton Lane, Columbus, OH, 43219",Open,17,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Polaris,"661 Worthington Road, Westerville, OH, 43082",Open,26,$249.00,$10.00,$29.00,N/A,N/A,N/A
CycleBar Fayetteville,"2735 Freedom Parkway Drive, Suite 1, Fayetteville, NC, 28314",Open,31,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Upper Arlington,"1609 West Lane Avenue, Upper Arlington, OH, 43221",Open,32,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Powell,"4020 Powell Road, Powell, OH, 43065",Open,15,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Royal Oak,"413 N Main Street, Royal Oak, MI, 48067",Open,25,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Troy,"315 E Big Beaver Road, Troy, MI, 48083",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Ford,"41847 Ford Road, Canton, MI, 48187",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Northville,"20085 Haggerty Road, Northville, MI, 48167",Open,41,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Perrysburg,"10630 Fremont Pike, Perrysburg, OH, 43551",Open,20,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Lake Norman,"20601 Torrence Chapel Road, Suite 5A, Cornelius, NC, 28031",Open,28,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Matthews,"2309 Matthews Township Parkway, Suite 104, Matthews, NC, 28105",Open,22,$59.00,$109.00,$149.00,$189.00,$99.00,$349.00
CycleBar Midtown Charlotte,"339 S Kings Drive, Charlotte, NC, 28204",Open,30,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar South Park,"4310 Sharon Road, Charlotte, NC, 28211",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Waverly,"7315 Waverly Walk Avenue, Suite F1-2, Charlotte, NC, 28277",Open,29,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Austin Landing,"3655 Rigby Road, Miamisburg, OH, 45342",Open,25,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Fort Mill,"2351 Len Patterson Road Suite 106, Fort Mill, SC, 29708",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Liberty Township,"7306 Yankee Road, Liberty Township, OH, 45044",Open,23,$79.00,$129.00,$169.00,$27.00,$0.00,$49.00
CycleBar Kenwood,"5901 E. Galbraith Road, Suite 235, Kenwood, OH, 45236",Open,24,$249.00,$10.00,$29.00,N/A,N/A,N/A
CycleBar Hyde Park,"2713 Edmondson Road, Cincinnati, OH, 45209",Open,44,$249.00,$10.00,$29.00,N/A,N/A,N/A
CycleBar Spartanburg,"120 W Saint John Street, Spartanburg, SC, 29306",Open,27,$59.00,$89.00,$99.00,$79.00,$149.00,$29.00
CycleBar Patchen Square,"2860 Richmond Road, Lexington, KY, 40509",Open,35,$249.00,$10.00,$29.00,N/A,N/A,N/A
CycleBar Fritz Farm,"4049 Finn Way, Lexington, KY, 40517",Open,44,$249.00,$10.00,$29.00,N/A,N/A,N/A
CycleBar Forest Acres,"4609 Forest Drive, Suite 4, Forest Acres, SC, 29206",Open,22,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Greenville,"307 East McBee Avenue, Suite B, Greenville, SC, 29601",Open,32,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Mount Pleasant,"1601 Palmetto Grande Drive, Suite I-7, Mt. Pleasant, SC, 29464",Closed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CycleBar Bearden,"5444 Homberg Drive, Knoxville, TN, 37919",Open,45,$249.00,$10.00,$29.00,N/A,N/A,N/A
CycleBar Middletown Station,"12951 Shelbyville Road, Suite 101, Middletown, KY, 40243",Open,24,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar St. Matthews,"4600 Shelbyville Road, Louisville, KY, 40207",Open,25,$69.00,$119.00,$159.00,$209.00,$109.00,$369.00
CycleBar Traders Point,"6010 West 86th, Suite 130, Indianapolis, IN, 46278",Open,32,$69.00,$119.00,$159.00,$269.00,$79.00,$249.00
CycleBar Evans,"4218 Washington Rd ,, Suite 6, Evans, GA, 30809",Open,32,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar Hilton Head,"11 Palmetto Bay Road, Suite 106B, Hilton Head, SC, 29928",Open,29,$79.00,$129.00,$169.00,$229.00,$119.00,$399.00
CycleBar River North,"720 North LaSalle Drive, Chicago, IL, 60654",Open,22,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Fulton Market,"175 N Halsted Street, Chicago, IL, 60661",Open,20,$109.00,$159.00,$199.00,$289.00,$149.00,$559.00
CycleBar Wilmette,"116 Skokie Blvd., Wilmette, IL, 60091",Open,28,$89.00,$139.00,$179.00,$249.00,$129.00,$459.00
