Name,Address,Status,Classes_This_Week
Club Pilates Bridgewater,"334 Chimney Rock Rd., Bound Brook, NJ, 08805",Open,73
Club Pilates Stamford,"1051 Long Ridge Road, Stamford, CT, 06903",coming soon,N/A
Club Pilates Ocean Plaza,"1100 NJ-35, Ocean Township, NJ, 07712",Open,70
Club Pilates Mount Kisco,"30 E. Main St., Mount Kisco, NY, 10549",Open,76
Club Pilates Darien,"1063 Boston Post Rd., Darien, CT, 06820",Open,64
Club Pilates West Islip,"425 Union Blvd, West Islip, NY, 11795",coming soon,N/A
Club Pilates Commack,"6226 Jericho Turnpike, Commack, NY, 11725",Open,69
Club Pilates Chester,"203 US-206, Chester, NJ, 07930",coming soon,N/A
Club Pilates Manalapan,"400 Crossing Lane, Suite 90, Manalapan, NJ, 07726",coming soon,N/A
Club Pilates New Canaan,"70 Main Street, New Canaan, CT, 06840",Open,73
Club Pilates Bay Shore,"571 East Main Street, Bay Shore, NY, 11706",Open,60
Club Pilates Montgomery,"21 Belle Mead Griggstown Road, Montgomery, NJ, 08502",Open,52
Club Pilates Wall Township,"1919 Route 35, Wall Township, NJ, 07719",Open,71
Club Pilates Howell,"4797 US Route 9, Howell, NJ, 07731",Open,65
Club Pilates Westport,"427 Post Road East, Westport, CT, 06880",Open,62
Club Pilates Princeton,"3535 US Route 1, Suite 420, Princeton, NJ, 08540",Open,79
Club Pilates Lake Grove,"139A Alexander Avenue, Lake Grove, NY, 11755",Open,63
Club Pilates Fairfield,"85 Mill Plain Rd Sportsplex, Sportsplex - Building V, Fairfield, CT, 06824",Open,71
Club Pilates Flemington,"100 Reaville Ave., Flemington, NJ, 08822",Open,46
Club Pilates Goshen,"106-107 Clowes Avenue, Goshen, NY, 10924",coming soon,N/A
Club Pilates Bayport,"903 Montauk Hwy, Bayport, NY, 11705",Open,66
Club Pilates Miller Place,"159 Route 25A, Miller Place, NY, 11764",Open,66
Club Pilates Danbury,"132 Federal Road, Unit C, Danbury, CT, 06811",Open,74
Club Pilates Shelton,"785 Bridgeport Ave, Unit I, Shelton, CT, 06484",coming soon,N/A
Club Pilates Newtown,"44 West Road, Newtown, PA, 18940",Open,73
Club Pilates Poughkeepsie,"1895 South Rd, Poughkeepsie, NY, 12601",coming soon,N/A
Club Pilates Richboro,"800 Bustleton pike, Richboro, PA, 18954",coming soon,N/A
Club Pilates Bensalem (LA Fitness),"500 Rockhill Drive, Bensalem, PA, 19020",Open,26
Club Pilates Nazareth,"3712-3 Easton-Nazareth Highway, Easton, PA, 18045",Open,52
Club Pilates Doylestown,"1745 S. Easton Rd, Ste. H4, Doylestown, PA, 18901",Open,77
Club Pilates New Haven,"298 Crown Street, New Haven, CT, 06511",Open,74
Club Pilates Moorestown,"320 Young Avenue, Moorestown, NJ, 08057",Open,69
Club Pilates Jenkintown,"1627 The Fairway, Jenkintown, PA, 19046",Open,71
Club Pilates Springhouse,"1105-D North Bethlehem Pike, Spring House, PA, 19477",Open,79
Club Pilates Marlton,"101 Route 73 S, Suite 115, Marlton, NJ, 08053",Open,69
Club Pilates Blue Bell,"756 DeKalb Pike, Blue Bell, PA, 19422",Open,59
Club Pilates Haddonfield,"660 W Cuthbert Boulevard, Suite 21, Westmont, NJ, 08108",coming soon,N/A
Club Pilates Conshohocken,"22 E Ridge Pike, Conshohocken, PA, 19428",Open,71
Club Pilates Rittenhouse Square,"1616 Walnut Street, Philadelphia, PA, 19103",Open,60
Club Pilates Southampton,"850 County Road 39, Unit 3, Southampton, NY, 11968",Open,56
Club Pilates Collegeville,"222 East Main St., #12, Collegeville, PA, 19426",Open,80
Club Pilates Cross Keys,"601 Berlin - Cross Keys Road, Gloucester Township, NJ, 08081",coming soon,N/A
Club Pilates Newtown Square,"104 Squire Drive, Suite A, Newtown Square, PA, 19073",Open,57
Club Pilates Whiskey Mill,"121 Berkley Rd., Suite C, Clarksboro, NJ, 08020",Open,70
Club Pilates West Hartford,"1445 New Britain Ave, West Hartford, CT, 06110",Open,61
Club Pilates Frazer,"215 Lancaster Ave., Frazer, PA, 19355",Open,76
Club Pilates Avon,"380 West Main Street, Avon, CT, 06001",Open,69
Club Pilates Glastonbury,"35 Welles St., Glastonbury, CT, 06033",Open,65
Club Pilates Exton,"812 N Pottstown Pike, Exton, PA, 19341",Open,79
Club Pilates Whiteland Towne Center,"121 W Lincoln Highway, Exton, PA, 19341",Open,63
Club Pilates Somers Point,"3 Bethel Road, Unit 290, Somers Point, NJ, 08244",Open,59
Club Pilates Brandywine Wilmington,"5610 Concord Pike, Wilmington, DE, 19803",Open,71
Club Pilates Wyomissing,"951 Hill Avenue, Suite 10, Wyomissing, PA, 19610",Open,109
Club Pilates Kennett Square,"857 East Baltimore Pike, Kennett Square, PA, 19348",Open,79
Club Pilates Pike Creek,"4811 Limestone Road, Wilmington, DE, 19808",Open,52
Club Pilates Bear,"1730 Pulaski Hwy, Bear, DE, 19701",coming soon,N/A
Club Pilates Westown Middletown,"1651 Lake Seymour Dr, Middletown, DE, 19709",coming soon,N/A
Club Pilates Lancaster,"1567 Fruitville Pike, Suite 3, Lancaster, PA, 17601",Open,71
Club Pilates Northway Mall,"1440 Central Ave, Albany, NY, 12205",coming soon,N/A
Club Pilates East Greenwich,"1000 Division St, Suite 75, East Greenwich, RI, 02818",Open,69
Club Pilates Clifton Park,"15 Clifton Country Rd, Clifton Park, NY, 12065",Open,56
Club Pilates Johnston,"1 Commerce Way, Johnston, RI, 02919",Open,71
Club Pilates Bel Air,"634 Marketplace Drive, Bel Air, MD, 21014",Open,62
Club Pilates Shrewsbury,"193 Boston Turnpike, Suite 5120, Shrewsbury, MA, 01545",Open,53
Club Pilates Perry Hall,"5007 Honeygo Center Drive, Suite 106, Perry Hall, MD, 21128",Open,61
Club Pilates Hunt Valley,"100 Shawan Rd., Ste. C, Hunt Valley, MD, 21030",Open,55
Club Pilates Lutherville,"1411 York Road, Lutherville, MD, 21093",Open,58
Club Pilates Canton Waterfront,"3904 Boston St, Suite 105, Baltimore, MD, 21224",Open,56
Club Pilates Rotunda,"727 W 40th Street, Suite 132, Baltimore, MD, 21211",Open,63
Club Pilates Framingham,"280 Worcester Road, Framingham, MA, 01702",Open,61
Club Pilates Owings Mills,"10209 Grand Central Ave., #110, Owings Mills, MD, 21117",Open,40
Club Pilates Village Shoppes,"95 Washington Street, Canton, MA, 02021",Open,62
Club Pilates Wellesley,"200C Linden Street, Wellesley, MA, 02482",Open,61
Club Pilates Severna Park,"454 B Governor Ritchie Highway, Severna Park, MD, 21146",Open,69
Club Pilates Annapolis,"2661 Riva Rd, Bldg. 600, Suite 625, Annapolis, MD, 21401",Open,69
Club Pilates Columbia East,"8865 Stanford Blvd, Columbia, MD, 21045",coming soon,N/A
Club Pilates Brookline,"1360 Beacon Street, Brookline, MA, 02446",coming soon,N/A
Club Pilates Crofton,"2101 Concord Blvd., Suite F, Crofton, MD, 21114",Open,77
Club Pilates Burlington,"43 Middlesex Turnpike, Unit 12, Burlington, MA, 01803",Open,67
Club Pilates Back Bay,"31 St. James Ave, Boston, MA, 02116",coming soon,N/A
Club Pilates Assembly Row,"389 Revolution Dr., Somerville, MA, 02145",Open,52
Club Pilates Laurel,"14712 Baltimore Ave, Suite 103, Laurel, MD, 20707",Open,54
Club Pilates Hanover,"1775 Washington Street, Suite 730, Hanover, MA, 02339",coming soon,N/A
Club Pilates Colony Place Plymouth,"174 Colony Place, Suite 126B, Plymouth, MA, 02360",coming soon,N/A
Club Pilates Hingham,"15 Shipyard Dr., Hingham, MA, 02043",Open,73
Club Pilates Woburn,"103 Commerce Way, Unit B, Woburn, MA, 01801",Open,52
Club Pilates Dewitt,"3409 Erie Blvd East, Suite 175, Syracuse, NY, 13214",Open,53
Club Pilates Lynnfield,"671 Market Street, Lynnfield, MA, 01940",Open,82
Club Pilates Olney,"18119 Town Center Dr., Olney, MD, 20832",Open,56
Club Pilates Woodmore,"2200 Petrie Lane, Suite 534, Glenarden, MD, 20706",Open,79
Club Pilates Riverdale Park,"6710 45th St, Suite 2B3, Riverdale, MD, 20737",coming soon,N/A
Club Pilates North Andover,"93 Turnpike St., North Andover, MA, 01845",Open,74
Club Pilates Salem,"19 Paradise Road, Salem, MA, 01970",Open,69
Club Pilates Bedford,"3-5 Colby Ct, #300B, Bedford, NH, 03110",Open,72
Club Pilates Silver Spring,"956 Thayer Ave, Silver Spring, MD, 20910",Open,56
Club Pilates North Bethesda,"5544 Randolph Rd., Rockville, MD, 20852",Open,67
Club Pilates Germantown,"20946-B Frederick Road, Germantown, MD, 20876",Open,50
Club Pilates Gaithersburg,"123 Crown Park Ave, Gaithersburg, MD, 20878",Open,60
Club Pilates South Frederick,"4959 Westview Dr., Ste. D, Frederick, MD, 21703",Open,46
Club Pilates Mount Vernon Triangle,"901 4th Street NW, Washington, DC, 20001",Open,45
Club Pilates Bethesda,"4959 Elm St, Bethesda, MD, 20814",Open,53
Club Pilates Tenleytown,"4433 Wisconsin Avenue, NW, Washington, DC, 20016",Open,39
Club Pilates Georgetown DC,"1065 Wisconsin Ave NW, Suite C, Washington, DC, 20007",coming soon,N/A
Club Pilates Pentagon City,"1101 S. Joyce St., Ste. B14, Arlington, VA, 22202",Open,58
Club Pilates Alexandria,"1725 Jamieson Avenue, Alexandria, VA, 22314",Open,69
Club Pilates Seven Corners,"6112 Arlington Blvd, Suite J, Falls Church, VA, 22044",coming soon,N/A
Club Pilates Falls Church,"116 Founders Avenue, Falls Church, VA, 22046",Open,65
Club Pilates Tysons Corner,"1521 Boyd Pointe Way, Ste. B, Vienna, VA, 22182",Open,58
