Name,Address,Status,Classes_This_Week
Club Pilates Matthews,"2211 Matthews Township Pkwy, Unit E, Matthews, NC, 28105",Open,53
Club Pilates Dilworth,"1247 East Blvd, #250, Charlotte, NC, 28203",Open,63
Club Pilates Indian Trail,"5140 Old Charlotte Hwy Ste F, Monroe, NC, 28110",Open,56
Club Pilates Beavercreek,"2451 Lakeview Drive, Suite 104, Beavercreek, OH, 45431",Open,59
Club Pilates Strawberry Hill,"4914 Old Sardis Road, Suite C2, Charlotte, NC, 28211",Open,54
Club Pilates South Providence,"10822 Providence Rd., #800, Charlotte, NC, 28277",Open,49
Club Pilates North Myrtle Beach,"1224 Highway 17N, North Myrtle Beach, SC, 29582",Open,57
Club Pilates Cross Pointe,"175 E. Alexandersville-Bellbrook Road, Suite #202, Dayton, OH, 45459",Open,62
Club Pilates Waxhaw,"8163 Kensington Drive, Suite A, Waxhaw, NC, 28173",Open,69
Club Pilates Austin Landing,"3649 Rigby Rd, Dayton, OH, 45342",Open,50
Club Pilates Fort Mill,"2373 Len Patterson Rd., Ste. 102, Fort Mill, SC, 29708",Open,74
Club Pilates Florence,"2001 Hoffmeyer Rd, Suite B, Florence, SC, 29501",Open,58
Club Pilates Rock Hill,"410 Herlong Ave, Ste 103, Rock Hill, SC, 29732",coming soon,N/A
Club Pilates Symmes Township,"12088 Montgomery Road, Cincinnati, OH, 45249",Open,62
Club Pilates West Chester,"7554 Voice of America Center Drive, West Chester Township, OH, 45069",Open,55
Club Pilates Kenwood,"7827 Kenwood Road, Cincinnati, OH, 45236",Open,63
Club Pilates Anderson,"7502 Beechmont Avenue, Cincinnati, OH, 45255",Open,55
Club Pilates Midland,"6213 Jefferson Ave, Midland, MI, 48640",Open,63
Club Pilates Bridgewater Falls,"3373 Princeton Rd, Ste F-100, Fairfield, OH, 45011",coming soon,N/A
Club Pilates Hyde Park OH,"2692 Madison Rd, Cincinnati, OH, 45208",Open,53
Club Pilates Fort Wright,"3420 Valley Plaza Parkway, Suite K, Ft. Wright, KY, 41017",Open,76
Club Pilates Asheville,"80 Charlotte Street, Suite 20, Asheville, NC, 28801",Open,63
Club Pilates Spartanburg,"1855 East Main Street, #20, Spartanburg, SC, 29307",Open,61
Club Pilates Fort Wayne,"6382 W Jefferson Blvd, Suite B09A, Fort Wayne, IN, 46804",coming soon,N/A
Club Pilates Patchen Square,"2860 Richmond Rd., Suite 185, Lexington, KY, 40509",Open,57
Club Pilates Biltmore Park,"28 Schenck Pkwy., #155, Asheville, NC, 28803",Open,49
Club Pilates Malabu Lexington,"148 Malabu Drive, Suite 170, Lexington, KY, 40503",Open,68
Club Pilates Forest Acres,"4605 Forest Dr., Suite 4, Forest Acres, SC, 29206",Open,64
Club Pilates Lake Murray,"1320 Dutch Fork Road, Suite A, Irmo, SC, 29063",Open,63
Club Pilates Five Forks,"1939 Woodruff Rd., Greenville, SC, 29607",Open,56
Club Pilates Lexington,"5230 Sunset Blvd, Ste. C, Lexington, SC, 29072",Open,64
Club Pilates Simpsonville,"108 E. Curtis St, Simpsonville, SC, 29681",coming soon,N/A
Club Pilates Greenville,"2107-A Augusta St., Greenville, SC, 29605",Open,64
Club Pilates Knapp's Crossing,"2066 East Beltline Ave NE, Grand Rapids, MI, 49546",Open,53
Club Pilates Breton Village,"1886 Breton Rd SE, Grand Rapids, MI, 49506",Open,55
Club Pilates Bearden,"122 N Forest Park Blvd, Knoxville, TN, 37919",Open,54
Club Pilates Mt Pleasant,"1701 Shoremeade Rd., Suite 630, Mt Pleasant, SC, 29464",Open,67
Club Pilates Fishers,"11722 Allisonville Rd., Suite 102, Fishers, IN, 46038",Open,57
Club Pilates Summerville,"9512 Dorchester Rd., Ste. 150, Summerville, SC, 29485",Open,54
Club Pilates Middletown Station,"12951 Shelbyville Rd., #103, Louisville, KY, 40243",Open,58
Club Pilates Springhurst,"9424 Brownsboro Road, Louisville, KY, 40241",Open,33
Club Pilates Carmel,"2482 East 146th Street, Carmel, IN, 46033",Open,52
Club Pilates North Indy,"2727 East 86th St., Ste. 145, Indianapolis, IN, 46240",Open,41
Club Pilates James Island,"1739 Maybank Hwy., Ste. L, Charleston, SC, 29412",Open,63
Club Pilates Turkey Creek,"10901 Parkside Dr., Suite 103, Knoxville, TN, 37934",Open,59
Club Pilates St. Matthews,"4600 Shelbyville Rd., #116, Louisville, KY, 40207",Open,63
Club Pilates West Ashley,"3642 Savannah Hwy, Suite 152, Johns Island, SC, 29455",Open,64
Club Pilates Downtown Indy,"530 Massachusetts Ave, Suite 160, Indianapolis, IN, 46204",Open,42
Club Pilates Greenwood,"1675 West Smith Valley Rd., Ste. D4A, Greenwood, IN, 46142",Open,57
Club Pilates Zionsville,"10895 N Michigan Road, Zionsville, IN, 46077",Open,61
Club Pilates Traverse City,"1545 S. Division, Suite 119, Traverse City, MI, 49684",Open,43
Club Pilates Avon Crossing,"10439 U.S. Route 36, Avon, IN, 46123",Open,56
Club Pilates Aiken,"161 S Aiken Ln, Ste 410, Aiken, SC, 29803",Open,56
Club Pilates Evans,"621 Mullins Colony Dr., Evans, GA, 30809",Open,76
Club Pilates Augusta,"210 Robert C Daniel Jr Parkway, Ste C, Augusta, GA, 30909",Open,59
Club Pilates Bloomington,"121 N. Pete Ellis Dr, Bloomington, IN, 47401",coming soon,N/A
Club Pilates Hilton Head Island,"45 Pembroke Drive, Ste 135, Hilton Head Island, SC, 29926",Open,57
Club Pilates Athens,"290 Alps Road, Athens, GA, 30606",Open,71
Club Pilates Bluffton,"80 Baylor Drive, Suite 114, Bluffton, SC, 29910",coming soon,N/A
Club Pilates South Loop,"710 S. Clark, Chicago, IL, 60605",Open,71
Club Pilates River North,"165 W Superior Street, Suite 2, Chicago, IL, 60654",Open,70
Club Pilates West Loop,"907 W Madison St, Chicago, IL, 60607",Open,72
Club Pilates Lincoln Park,"2047 N. Clybourn Ave., Chicago, IL, 60614",Open,74
Club Pilates Wicker Park,"1348 N Milwaukee Avenue, Chicago, IL, 60622",Open,71
Club Pilates Ravenswood,"1900 W. Lawrence, Chicago, IL, 60640",coming soon,N/A
Club Pilates North Center,"4023 N. Lincoln Ave., Chicago, IL, 60618",Open,76
Club Pilates Evanston,"745 Chicago Avenue, Evanston, IL, 60202",Open,78
Club Pilates Sugar Hill,"1270 Hillcrest Drive, Sugar Hill, GA, 30518",coming soon,N/A
Club Pilates Buford,"2815 Buford Drive, Buford, GA, 30519",Open,59
Club Pilates South Bowling Green,"5833 Scottsville Rd, Suite 201, Bowling Green, KY, 42104",Open,60
Club Pilates Edgebrook,"5629 W Touhy, Niles, IL, 60714",Open,70
Club Pilates Cumming,"5740 Steeplechase Blvd, Suite 104, Cumming, GA, 30040",Open,68
Club Pilates Oak Park,"704 Lake St., Oak Park, IL, 60301",Open,74
Club Pilates Glenview,"1442 Waukegan Rd., Glenview, IL, 60025",Open,72
Club Pilates Park Ridge,"70 N. Northwest Hwy, Park Ridge, IL, 60068",Open,72
Club Pilates Deerfield,"47 Waukegan Road, Deerfield, IL, 60015",Open,68
Club Pilates Northbrook,"2829 Pfingsten Road, Glenview, IL, 60026",Open,64
Club Pilates East Lake Forest,"722 N Bank Ln, Lake Forest, IL, 60045",Open,67
Club Pilates La Grange,"18 W. Burlington Ave., First Floor West, La Grange, IL, 60525",Open,83
Club Pilates Snellville,"1350 Scenic Hwy, Suite 620, Snellville, GA, 30078",Open,70
Club Pilates Hamilton Place,"1925 Gunbarrel Road, Suite 123, Chattanooga, TN, 37421",Open,61
Club Pilates Avalon,"7160 Avalon Way, Alpharetta, GA, 30009",Open,67
Club Pilates Canton Marketplace,"1810 Cumming Hwy, Suite 1140, Canton, GA, 30115",Open,73
Club Pilates Mount Prospect,"1107 N. Elmhurst Rd., Mount Prospect, IL, 60056",Open,76
Club Pilates Westmont,"810 E. Ogden Ave., Westmont, IL, 60559",Open,66
Club Pilates Elmhurst,"538 W. St. Charles Rd., Elmhurst, IL, 60126",Open,65
Club Pilates Libertyville,"1614 S. Milwaukee Ave., Libertyville, IL, 60048",Open,72
Club Pilates Peachtree Corners,"4880 Peachtree Corners Circle, Ste 1130, Peachtree Corners, GA, 30092",Open,70
Club Pilates North Buffalo Grove,"388 Half Day Rd, Buffalo Grove, IL, 60089",Open,64
Club Pilates Alpharetta,"3005 Old Alabama Road, Suite 150, Alpharetta, GA, 30022",Open,66
Club Pilates North Shore,"307 Manufacturer's Rd, Suite 203-B, Chattanooga, TN, 37405",Open,63
Club Pilates Gurnee,"6951 W Grand Ave, Gurnee, IL, 60031",Open,77
Club Pilates Woodridge,"1001 75th Street, #113A, Woodridge, IL, 60517",Open,72
Club Pilates Third Ward,"340 N. Milwaukee Street, Milwaukee, WI, 53202",Open,31
Club Pilates Palatine,"784 E. Dundee Rd, Palatine, IL, 60074",Open,51
Club Pilates Roswell,"1125 Woodstock Road, Suite 370, Roswell, GA, 30075",Open,66
Club Pilates Glen Ellyn,"277 Roosevelt Rd., Glen Ellyn, IL, 60137",Open,69
Club Pilates Schaumburg,"160 South Roselle Rd, Ste. B, Schaumburg, IL, 60193",Open,78
Club Pilates Wheaton,"27 Danada Square E, Wheaton, IL, 60189",coming soon,N/A
Club Pilates Dunwoody,"5552-B Chamblee Dunwoody Rd, Dunwoody, GA, 30338",Open,82
Club Pilates North Naperville,"1307 S. Naper Blvd, Naperville, IL, 60540",Open,75
Club Pilates Bloomingdale,"383 W. Army Trail Road, Suite 800, Bloomingdale, IL, 60108",Open,67
Club Pilates Bolingbrook,"1250 W Boughton Rd, Bolingbrook, IL, 60440",coming soon,N/A
Club Pilates Wauwatosa,"6929 W. North Ave., Wauwatosa, WI, 53213",Open,32
Club Pilates Woodstock,"1428 Towne Lake Pkwy., Ste. 104, Woodstock, GA, 30189",Open,75
Club Pilates East Cobb,"2960 Shallowford Rd., Suite 200, Marietta, GA, 30066",Open,76
Club Pilates Brookhaven,"5001 Peachtree Blvd., Ste. 630, Chamblee, GA, 30341",Open,69
Club Pilates Mequon,"6300 W. Mequon Rd., Mequon, WI, 53092",Open,55
Club Pilates Merchants Walk,"1311 Johnson Ferry Road, Ste #532, Marietta, GA, 30068",Open,78
Club Pilates Barrington,"500 North Hough St, Suite 145, Barrington, IL, 60010",Open,67
Club Pilates Sandy Springs,"5968 Roswell Road, Sandy Springs, GA, 30328",Open,62
Club Pilates Arboretum,"100 W Higgins Rd, Suite E-1, South Barrington, IL, 60010",Open,57
Club Pilates Plainfield,"13511 Illinois Rte 59, Suite 111, Plainfield, IL, 60544",Open,60
Club Pilates Decatur,"1605 Church St, Suite 660, Decatur, GA, 30033",Open,40
Club Pilates South Naperville,"2695 Forgue Dr., #109, Naperville, IL, 60564",Open,69
Club Pilates Toco Hills,"2943 N. Druid Hills Rd. NE, #460, Atlanta, GA, 30329",Open,52
Club Pilates Marietta South (LA Fitness),"1453 Terrell Mill Rd, Suite 145, Marietta, GA, 30067",Open,35
Club Pilates Brookfield,"17301 W Capitol Drive, Brookfield, WI, 53045",Open,62
Club Pilates Buckhead,"2391 Peachtree Rd. NE, Suite B3Ab, Atlanta, GA, 30305",Open,60
Club Pilates Evansville,"111 S. Green River Rd., Suite I, Evansville, IN, 47715",Open,68
Club Pilates Indian Lake,"217 Indian Lake Blvd., Ste. 1002, Hendersonville, TN, 37075",Open,55
Club Pilates Acworth,"3450 Cobb Parkway, Suite 2-250, Acworth, GA, 30101",Open,37
Club Pilates St. Charles,"142 S 1st St, St. Charles, IL, 60174",Open,63
Club Pilates Algonquin,"2517 N. County Line Rd., Algonquin, IL, 60102",Open,55
Club Pilates Murfreesboro,"3266 Memorial Blvd, Suite D, Murfreesboro, TN, 37129",Open,66
Club Pilates West Cobb,"3805 Dallas Highway, Unit 810, Marietta, GA, 30064",Open,78
Club Pilates Pewaukee,"1921 Silvernail Rd, Unit D, Pewaukee, WI, 53072",Open,38
Club Pilates McDonough West,"2400 Jonesboro Rd, Suite A3, McDonough, GA, 30228",coming soon,N/A
Club Pilates Green Bay East,"2298 Costco Way, Ste 120, Bellevue, WI, 54311",coming soon,N/A
Club Pilates West Murfreesboro,"5525 Franklin Rd, Suite D, Murfreesboro, TN, 37128",Open,66
Club Pilates North Gulch,"402 11th Avenue North, Nashville, TN, 37203",Open,76
Club Pilates Belle Meade,"4326 Harding Pike, Ste. 105, Nashville, TN, 37205",Open,61
Club Pilates Maryland Farms,"101 Creekside Crossing, Suite 600, Brentwood, TN, 37027",Open,66
Club Pilates Cool Springs,"4031 Aspen Grove Drive, Suite 120, Franklin, TN, 37067",Open,66
Club Pilates Bellevue Place,"8133 Sawyer Brown Rd, Suite 602, Nashville, TN, 37221",coming soon,N/A
Club Pilates Peachtree City,"408 Crosstown Drive, Peachtree City, GA, 30269",Open,70
Club Pilates Berry Farms,"6001 Hughes Crossing, Ste. 110, Franklin, TN, 37064",Open,65
Club Pilates Clarksville,"2276 Trenton Road, Suite B, Clarksville, TN, 37040",coming soon,N/A
Club Pilates Newnan,"332 Newnan Crossing Bypass, Newnan, GA, 30265",coming soon,N/A
Club Pilates Chandan Place,"3065 N. Perryville Rd., Ste. 121, Rockford, IL, 61114",Open,50
Club Pilates Sun Prairie,"390 S Grand Ave., Unit 106, Sun Prairie, WI, 53590",Open,55
Club Pilates Jones Valley,"2724 Carl T Jones Drive SE, Ste 805, Huntsville, AL, 35802",coming soon,N/A
Club Pilates West Huntsville,"7564 Hwy 72 West, Suite B, Madison, AL, 35758",Open,65
Club Pilates Monroe Street,"2623 Monroe St, Suite 130, Madison, WI, 53711",Open,58
Club Pilates Madison West,"566 Junction Road, Madison, WI, 53717",Open,52
Club Pilates Neptune Beach,"564 Atlantic Blvd, Ste 564, Neptune Beach, FL, 32266",coming soon,N/A
Club Pilates Jax Beach,"14035 Beach Blvd., Ste. 105, Jacksonville, FL, 32224",Open,64
Club Pilates Highside Market,"211 13th Street, Suite 202, Columbus, GA, 31901",Open,66
Club Pilates Ponte Vedra,"330 A1A North, Suite 215, Ponte Vedra Beach, FL, 32082",Open,53
Club Pilates Downtown Jacksonville,"150 Riverside Ave., #307, Jacksonville, FL, 32202",Open,66
Club Pilates Auburn,"2311 Bent Creek Rd., Ste 600, Auburn, AL, 36830",Open,69
Club Pilates Mandarin,"11112 San Jose Blvd, #6, Jacksonville, FL, 32223",Open,57
Club Pilates Durbin Park,"450 Durbin Pavilion Drive, Ste 103, St. Johns, FL, 32259",Open,70
Club Pilates Fleming Island,"1524 County Rd., 220 #7, Fleming Island, FL, 32003",Open,75
Club Pilates St. Augustine,"220 State Road 312, Saint Augustine, FL, 32086",Open,66
Club Pilates Bettendorf,"3378 Middle Road, Bettendorf, IA, 52722",coming soon,N/A
Club Pilates Cahaba Heights,"3159 Green Valley Rd, Birmingham, AL, 35243",Open,65
Club Pilates Homewood,"1920 28th Avenue South, Homewood, AL, 35209",Open,52
Club Pilates Riverchase,"1839 Montgomery Hwy, Ste. D, Hoover, AL, 35244",Open,54
Club Pilates Brentwood STL,"2535 S Brentwood Blvd, St. Louis, MO, 63144",Open,66
Club Pilates Crestwood,"9547 Watson Rd, Suite C4, Crestwood, MO, 63126",Open,52
Club Pilates Creve Coeur,"702 N. New Ballas Rd., Creve Coeur, MO, 63141",Open,49
Club Pilates Lindenwood,"1970 First Capital Dr, Ste 1970, St. Charles, MO, 63301",coming soon,N/A
Club Pilates Ormond Beach,"175 S. Nova Rd, Ormond Beach, FL, 32174",coming soon,N/A
Club Pilates East Montgomery,"8143 Vaughn Rd., Montgomery, AL, 36116",Open,49
Club Pilates Chesterfield,"122 Hilltown Village Center, Chesterfield, MO, 63017",Open,49
Club Pilates Port Orange,"3817 South Nova Rd, Suite 102, Port Orange, FL, 32127",Open,70
Club Pilates Lake St. Louis,"6408 Ronald Reagan Drive, Lake Saint Louis, MO, 63368",Open,55
Club Pilates Gainesville,"2625 SW 91st Street, Gainesville, FL, 32608",Open,75
Club Pilates Wentzville,"1894 Wentzville Pkwy., Wentzville, MO, 63385",Open,67
Club Pilates Tuscaloosa,"1800 McFarland Blvd E, Suite 424, Tuscaloosa, AL, 35404",coming soon,N/A
Club Pilates North Tallahassee,"3491 Thomasville Rd E, Tallahassee, FL, 32309",Open,76
Club Pilates Southwood,"2176 Capital Circle SE, Suite 302, Tallahassee, FL, 32301",coming soon,N/A
Club Pilates Coralville,"3254 Crosspark Rd, Unit 103, Coralville, IA, 52241",Open,65
Club Pilates Cedar Rapids,"5300 Fountains Dr NE, Suite 100, Cedar Rapids, IA, 52411",Open,64
Club Pilates Ocala,"303 SE 17th Street, Suite 106, Ocala, FL, 34471",coming soon,N/A
Club Pilates Lake Mary,"4247 W Lake Mary Blvd, Lake Mary, FL, 32746",Open,63
Club Pilates Oviedo,"1351 Alafaya Trail, Suite 1009, Oviedo, FL, 32765",Open,81
Club Pilates Southern Trace,"3509 Wedgewood Lane, Suite 102, The Villages, FL, 32162",coming soon,N/A
Club Pilates Altamonte Springs,"380 S State Rd 434, #1002, Altamonte Springs, FL, 32714",Open,61
Club Pilates Waterford Lakes,"504 N Alafaya Tr., Suite 108, Orlando, FL, 32828",Open,76
Club Pilates The Villages,"5814 Seven Mile Drive, Suite 102, Wildwood, FL, 34785",Open,70
Club Pilates Memphis-Lakeland,"9915 Hwy 64, Suite 106, Memphis, TN, 38002",Open,73
Club Pilates Winter Park,"1222 N Orange Ave., Ste. B, Winter Park, FL, 32789",Open,78
Club Pilates Collierville,"3660 S. Houston Levee Rd., #108, Collierville, TN, 38017",Open,79
Club Pilates SODO,"3123 S Orange Ave, Ste 103, Orlando, FL, 32806",Open,76
Club Pilates Viera,"2221 Town Center Avenue, Suite 129, Melbourne, FL, 32940",Open,64
Club Pilates East Memphis,"6300 Poplar Ave., Ste. 103, Memphis, TN, 38119",Open,84
Club Pilates Space Coast,"3600 N Wickham Road, Suite 106, Melbourne, FL, 32935",Open,67
Club Pilates Winter Garden,"13848 Tilden Rd., Ste. 130, Winter Garden, FL, 34787",Open,90
Club Pilates Lake Nona,"7004 Tavistock Lakes Blvd, Suite 144, Orlando, FL, 32827",Open,72
Club Pilates Dr. Phillips,"7600 Dr. Philips Blvd, Ste. 86, Orlando, FL, 32819",Open,66
Club Pilates Clermont,"2612 S Hwy 27, Suite 500, Clermont, FL, 34711",Open,72
Club Pilates Midtown Memphis,"1610 Union Ave, Memphis, TN, 38104",Closed,N/A
Club Pilates Hunters Creek,"3916 Town Center Blvd, Suite 103C, Orlando, FL, 32837",Open,75
Club Pilates St. Cloud,"4407 13th Street, Suite 2B, St. Cloud, FL, 34769",Open,70
Club Pilates Celebration,"1617 Future Way, Celebration, FL, 34747",Open,1
Club Pilates Rochester North,"2575 Commerce Drive NW, Suite 105, Rochester, MN, 55901",coming soon,N/A
Club Pilates Vero Beach,"911 14th Lane, Unit 4, Vero Beach, FL, 32960",coming soon,N/A
Club Pilates Wiregrass,"28249 Paseo Dr., #190, Wesley Chapel, FL, 33543",Open,83
Club Pilates Lakeland,"4747 S. Florida Avenue, Lakeland, FL, 33813",Open,76
Club Pilates Trinity,"12454 State Rd. 54, Odessa, FL, 33556",Open,69
Club Pilates New Tampa,"15341 Amberly Drive, Tampa, FL, 33647",Open,76
Club Pilates Port St. Lucie,"1707 St Lucie West Blvd., #166, Port St Lucie, FL, 34986",Open,84
Club Pilates Destin,"4433 Commons Drive East, Suite 106, Destin, FL, 32541",Open,76
Club Pilates Carrollwood,"13254 N. Dale Mabry Hwy, Tampa, FL, 33618",Open,75
Club Pilates Woodbury,"9000 Hudson Rd., #602, Woodbury, MN, 55125",Open,48
Club Pilates Jensen Beach,"1507 NW Federal HWY, Stuart, FL, 34994",Open,88
Club Pilates Tarpon Springs,"40956 US Hwy 19 N, Tarpon Springs, FL, 34689",coming soon,N/A
Club Pilates Valrico,"3438 Lithia Pinecrest Rd., Valrico, FL, 33596",Open,73
Club Pilates Westchase,"12125 W. Linebaugh Ave., Suite 202, Tampa, FL, 33626",Open,76
Club Pilates White Bear Lake,"4713 N. Hwy 61, White Bear Lake, MN, 55110",Open,37
Club Pilates South Tampa,"940 S. Howard Ave., Tampa, FL, 33606",Open,70
Club Pilates Lakeville,"16106 Pilot Knob Rd, Ste 130, Lakeville, MN, 55044",Open,60
Club Pilates Countryside,"25973 US Hwy. 19 N, Ste. A-102, Clearwater, FL, 33763",Open,76
Club Pilates Eagan,"3450 Pilot Knob Road, Suite 106, Eagan, MN, 55122",Open,31
Club Pilates Arden Hills,"3845 Lexington Ave N, Ste 111, Arden Hills, MN, 55126",Open,45
Club Pilates Highland Park West,"757 Cleveland Avenue South, Saint Paul, MN, 55116",Open,47
Club Pilates Blaine,"10945 Club West Parkway NE, Suite 150, Blaine, MN, 55449",Open,56
Club Pilates Largo,"10125 Ulmerton Road, Suite 3, Largo, FL, 33771",Open,74
Club Pilates North St. Pete,"347 62nd Ave N, Saint Petersburg, FL, 33702",coming soon,N/A
Club Pilates Abacoa,"1203 Town Center Drive, Unit 107, Jupiter, FL, 33458",Open,75
Club Pilates Minneapolis Lakes,"3200B W. Lake Street, Minneapolis, MN, 55416",Open,65
Club Pilates Edina,"3940 West 50th Street, Suite 110, Edina, MN, 55424",Open,64
Club Pilates Savage,"14010 Highway 13 South, Savage, MN, 55378",Open,61
Club Pilates Ankeny,"1615 SW Main, Suite 107, Ankeny, IA, 50023",Open,65
Club Pilates St. Petersburg,"120 Central Ave, Saint Petersburg, FL, 33701",Open,70
Club Pilates Eden Prairie,"574 Prairie Center Drive, Suite 155, Eden Prairie, MN, 55344",Open,66
Club Pilates Palm Beach Gardens,"3335 Northlake Blvd, Palm Beach Gardens, FL, 33403",coming soon,N/A
Club Pilates Pensacola,"7175 North Davis Highway, Suite C, Pensacola, FL, 32504",Open,55
Club Pilates St. Pete Beach,"6800 Gulfport Blvd S,, Suite #219, South Pasadena, FL, 33707",Open,72
Club Pilates Arbor Lakes,"11658 Fountains Drive, Maple Grove, MN, 55369",Open,47
Club Pilates Plymouth,"4000 Annapolis Lane, Suite 105, Plymouth, MN, 55447",Open,43
Club Pilates Minnetonka West,"17760 MN-7, Minnetonka, MN, 55345",Open,68
Club Pilates Urban Loop,"4820 100th Street, Suite 301, Urbandale, IA, 50322",coming soon,N/A
Club Pilates Jordan Creek,"140 S Jordan Creek Parkway, Suite 140, West Des Moines, IA, 50266",Open,62
Club Pilates West Palm Beach,"2604 S. Dixie Hwy, West Palm Beach, FL, 33401",Open,70
Club Pilates Parrish,"8950 US 301 N, Ste 129, Parrish, FL, 34219",coming soon,N/A
Club Pilates Wellington,"10660 Forest Hill Blvd., #140, Wellington, FL, 33414",Open,80
Club Pilates Braden River,"5408 Lockwood Ridge Rd., Bradenton, FL, 34203",Open,75
Club Pilates Lake Worth,"6300 Lantana Rd, Ste 29-30, Lake Worth, FL, 33463",Open,69
Club Pilates East Boynton,"970 N. Congress Avenue, Suite 110, Boynton Beach, FL, 33426",Open,59
Club Pilates Boynton Beach,"8855 Boynton Beach Blvd, Suite 320, Boynton Beach, FL, 33472",Open,57
Club Pilates Downtown Sarasota,"1413 - 1st Street, Suite #102A, Sarasota, FL, 34236",Open,77
Club Pilates Delray Beach,"640 Linton Blvd., Suite 340, Delray Beach, FL, 33444",Open,72
Club Pilates West Delray,"15084 Lyons Road, Suite 700, Delray Beach, FL, 33446",Open,71
Club Pilates South Sarasota,"8210 South Tamiami Trail, Sarasota, FL, 34238",Open,72
Club Pilates Point Clear,"18167 Wright Blvd, Fairhope, AL, 36532",coming soon,N/A
Club Pilates Mizner Blvd,"190 East Boca Raton Road, Boca Raton, FL, 33432",Open,70
Club Pilates Boca South,"7050 W. Palmetto Park Rd., #49/50, Boca Raton, FL, 33433",Open,79
Club Pilates Parkland,"9659 Westview Drive, Coral Springs, FL, 33076",Open,74
Club Pilates Coral Springs,"4388 N. State Rd. 7, Coral Springs, FL, 33073",Open,69
Club Pilates Pompano Beach,"1150 N Federal Hwy, Pompano Beach, FL, 33062",Open,79
Club Pilates Renaissance,"1000 Highland Colony Pkwy, Ste. 6005, Ridgeland, MS, 39157",Open,65
Club Pilates Springfield,"2144 E Republic Rd, Ste. E 103, Springfield, MO, 65807",Open,52
Club Pilates Ft. Lauderdale East,"3802 N. Federal Hwy., Fort Lauderdale, FL, 33308",Open,73
Club Pilates Sunrise,"9340 W. Commercial Blvd, Sunrise, FL, 33351",Open,65
Club Pilates Waite Park,"110 2nd Street, Ste 115, Waite Park, MN, 56387",coming soon,N/A
Club Pilates South Ft. Lauderdale,"1489 SE 17th St., Fort Lauderdale, FL, 33315",Open,76
Club Pilates Plantation,"10045 Cleary Blvd., Plantation, FL, 33324",Open,103
Club Pilates Plantation Midtown,"1017 South University Drive, Plantation, FL, 33324",coming soon,N/A
Club Pilates Hollywood Beach,"3309 Sheridan St, Hollywood, FL, 33021",Open,80
Club Pilates Cooper City,"5860 S Flamingo Road, Cooper City, FL, 33330",Open,87
Club Pilates Hallandale,"601 N Federal Hwy, Suite 203, Hallandale Beach, FL, 33009",Open,49
Club Pilates Ft. Myers Central,"6891 Daniels Parkway, Suite #145, Fort Myers, FL, 33912",Open,74
Club Pilates Cape Coral West,"2390 Surfside Blvd, Cape Coral, FL, 33991",Open,74
Club Pilates Ft. Myers West,"13211 McGregor Blvd, Unit 102-2, Fort Myers, FL, 33919",Open,82
Club Pilates Aventura,"19021 Biscayne Blvd., Aventura, FL, 33180",Open,72
Club Pilates Pembroke Pines,"14954 Pines Blvd., Pembroke Pines, FL, 33027",Open,97
Club Pilates Sunny Isles,"16850 Collins Ave., #113D, Sunny Isles Beach, FL, 33160",Open,62
Club Pilates Little Rock Midtowne,"207 North University Ave, Ste 180, Little Rock, AR, 72205",Open,41
Club Pilates Estero,"20321 Grande Oaks Shoppes Dr., Estero, FL, 33928",Open,77
Club Pilates Liberty,"10434 NE Cookingham Dr., Kansas City, MO, 64157",Open,61
Club Pilates West Little Rock,"16900 Chenal Parkway, Suite 160, Little Rock, AR, 72223",Open,49
Club Pilates Miami Shores,"9537 NE Second Ave, Miami Shores, FL, 33138",Open,56
Club Pilates Lees Summit,"940 NW Pryor Rd, Suite E, Lee’s Summit, MO, 64081",Open,70
Club Pilates Midtown Miami,"3401 North Miami Ave, #252, Miami, FL, 33127",coming soon,N/A
Club Pilates South Beach,"1800 Alton Rd, Miami Beach, FL, 33139",Closed,N/A
Club Pilates Doral Midtown,"7835 NW 107th Ave., #3, Doral, FL, 33178",Open,88
Club Pilates Downtown Doral,"5675 NW 87th Avenue, Unit 114, Doral, FL, 33166",coming soon,N/A
Club Pilates Brickell,"117 SW 10th Street, Suite 103, Miami, FL, 33130",Open,74
Club Pilates Country Club Plaza,"610 W 48th Street, Kansas City, MO, 64112",Open,61
Club Pilates North Naples,"7935 Airport-Pulling Rd, #12, Naples, FL, 34109",Open,81
Club Pilates Coral Gables,"77 Miracle Mile, Coral Gables, FL, 33134",Open,44
Club Pilates Parkville,"5914 NW 63rd Terrace, Kansas City, MO, 64151",Open,68
Club Pilates Miami-Bird (LA Fitness),"8310 Bird Rd, Miami, FL, 33155",Open,35
Club Pilates Prairie Village,"4059 W 83rd St, Prairie Village, KS, 66208",Open,75
Club Pilates South Miami,"5855 SW 72nd St., South Miami, FL, 33143",Open,69
Club Pilates West Kendall,"4258 SW 152nd Avenue, Miami, FL, 33185",Open,89
Club Pilates Sunset,"10021 SW 72nd Street,, Miami, FL, 33173",Open,63
Club Pilates South Overland Park,"6601 W. 119th Street, Overland Park, KS, 66209",Open,56
Club Pilates South Naples,"3827 Tamiami Trail East, Naples, FL, 34112",Open,72
Club Pilates Kendall,"11774 SW 104th St, Miami, FL, 33186",Open,86
Club Pilates West Overland Park,"11710 W. 135th St., Overland Park, KS, 66221",Open,79
